concept:name,time:timestamp,case:concept:name
A,2023-03-12T23:50:24.671+01:00,31
D,2023-03-12T23:50:28.684+01:00,31
E,2023-03-12T23:50:32.696+01:00,31
A,2023-03-12T23:50:25.484+01:00,32
D,2023-03-12T23:50:30.502+01:00,32
E,2023-03-12T23:50:33.516+01:00,32
A,2023-03-12T23:50:26.224+01:00,33
D,2023-03-12T23:50:30.243+01:00,33
E,2023-03-12T23:50:33.254+01:00,33
A,2023-03-12T23:50:26.483+01:00,34
D,2023-03-12T23:50:29.520+01:00,34
E,2023-03-12T23:50:32.528+01:00,34
A,2023-03-12T23:50:27.554+01:00,35
B,2023-03-12T23:50:28.589+01:00,35
C,2023-03-12T23:50:28.639+01:00,35
X,2023-03-12T23:50:33.659+01:00,35
Y,2023-03-12T23:50:34.688+01:00,35
A,2023-03-12T23:50:27.805+01:00,36
C,2023-03-12T23:50:28.853+01:00,36
B,2023-03-12T23:50:28.906+01:00,36
X,2023-03-12T23:50:33.922+01:00,36
Y,2023-03-12T23:50:36.938+01:00,36
A,2023-03-12T23:50:28.022+01:00,37
B,2023-03-12T23:50:29.086+01:00,37
C,2023-03-12T23:50:29.160+01:00,37
X,2023-03-12T23:50:34.173+01:00,37
Y,2023-03-12T23:50:37.185+01:00,37
A,2023-03-12T23:50:28.732+01:00,38
D,2023-03-12T23:50:33.738+01:00,38
E,2023-03-12T23:50:38.758+01:00,38
A,2023-03-12T23:50:28.887+01:00,39
C,2023-03-12T23:50:29.909+01:00,39
B,2023-03-12T23:50:29.945+01:00,39
X,2023-03-12T23:50:34.959+01:00,39
Y,2023-03-12T23:50:38.983+01:00,39
A,2023-03-12T23:50:29.393+01:00,40
C,2023-03-12T23:50:30.452+01:00,40
B,2023-03-12T23:50:30.505+01:00,40
X,2023-03-12T23:50:35.520+01:00,40
Y,2023-03-12T23:50:39.527+01:00,40
A,2023-03-12T23:50:31.038+01:00,41
D,2023-03-12T23:50:36.052+01:00,41
E,2023-03-12T23:50:38.061+01:00,41
A,2023-03-12T23:50:31.171+01:00,42
D,2023-03-12T23:50:34.187+01:00,42
E,2023-03-12T23:50:39.199+01:00,42
A,2023-03-12T23:50:31.279+01:00,43
B,2023-03-12T23:50:32.373+01:00,43
C,2023-03-12T23:50:32.407+01:00,43
X,2023-03-12T23:50:37.417+01:00,43
Y,2023-03-12T23:50:38.430+01:00,43
A,2023-03-12T23:50:31.472+01:00,44
D,2023-03-12T23:50:35.507+01:00,44
E,2023-03-12T23:50:36.519+01:00,44
A,2023-03-12T23:50:32.161+01:00,45
D,2023-03-12T23:50:35.182+01:00,45
E,2023-03-12T23:50:40.188+01:00,45
A,2023-03-12T23:50:32.338+01:00,46
C,2023-03-12T23:50:33.372+01:00,46
B,2023-03-12T23:50:33.442+01:00,46
X,2023-03-12T23:50:38.456+01:00,46
Y,2023-03-12T23:50:39.466+01:00,46
A,2023-03-12T23:50:32.878+01:00,47
D,2023-03-12T23:50:34.897+01:00,47
E,2023-03-12T23:50:36.938+01:00,47
A,2023-03-12T23:50:34.005+01:00,48
B,2023-03-12T23:50:35.052+01:00,48
C,2023-03-12T23:50:35.122+01:00,48
X,2023-03-12T23:50:40.144+01:00,48
Y,2023-03-12T23:50:42.149+01:00,48
A,2023-03-12T23:50:34.404+01:00,49
D,2023-03-12T23:50:35.411+01:00,49
E,2023-03-12T23:50:40.453+01:00,49
A,2023-03-12T23:50:35.818+01:00,50
B,2023-03-12T23:50:36.897+01:00,50
C,2023-03-12T23:50:36.920+01:00,50
X,2023-03-12T23:50:41.932+01:00,50
Y,2023-03-12T23:50:46.947+01:00,50
A,2023-03-12T23:50:36.034+01:00,51
C,2023-03-12T23:50:37.101+01:00,51
B,2023-03-12T23:50:37.156+01:00,51
X,2023-03-12T23:50:42.184+01:00,51
Y,2023-03-12T23:50:43.200+01:00,51
A,2023-03-12T23:50:36.105+01:00,52
B,2023-03-12T23:50:37.156+01:00,52
C,2023-03-12T23:50:37.175+01:00,52
X,2023-03-12T23:50:42.196+01:00,52
Y,2023-03-12T23:50:43.213+01:00,52
A,2023-03-12T23:50:36.130+01:00,53
B,2023-03-12T23:50:37.221+01:00,53
C,2023-03-12T23:50:37.256+01:00,53
X,2023-03-12T23:50:42.266+01:00,53
Y,2023-03-12T23:50:46.286+01:00,53
A,2023-03-12T23:50:37.486+01:00,54
B,2023-03-12T23:50:38.562+01:00,54
C,2023-03-12T23:50:38.631+01:00,54
X,2023-03-12T23:50:43.636+01:00,54
Y,2023-03-12T23:50:48.654+01:00,54
A,2023-03-12T23:50:37.762+01:00,55
D,2023-03-12T23:50:40.793+01:00,55
E,2023-03-12T23:50:44.803+01:00,55
A,2023-03-12T23:50:37.893+01:00,56
C,2023-03-12T23:50:38.946+01:00,56
B,2023-03-12T23:50:38.961+01:00,56
X,2023-03-12T23:50:43.971+01:00,56
Y,2023-03-12T23:50:45.998+01:00,56
A,2023-03-12T23:50:40.334+01:00,57
B,2023-03-12T23:50:41.438+01:00,57
C,2023-03-12T23:50:41.459+01:00,57
X,2023-03-12T23:50:46.470+01:00,57
Y,2023-03-12T23:50:48.481+01:00,57
A,2023-03-12T23:50:40.655+01:00,58
B,2023-03-12T23:50:41.770+01:00,58
C,2023-03-12T23:50:41.747+01:00,58
X,2023-03-12T23:50:46.778+01:00,58
Y,2023-03-12T23:50:49.784+01:00,58
A,2023-03-12T23:50:40.856+01:00,59
B,2023-03-12T23:50:41.888+01:00,59
C,2023-03-12T23:50:41.918+01:00,59
X,2023-03-12T23:50:46.948+01:00,59
Y,2023-03-12T23:50:48.968+01:00,59
A,2023-03-12T23:50:40.954+01:00,60
D,2023-03-12T23:50:45.009+01:00,60
E,2023-03-12T23:50:47.028+01:00,60
A,2023-03-12T23:50:41.490+01:00,61
C,2023-03-12T23:50:42.534+01:00,61
B,2023-03-12T23:50:42.630+01:00,61
X,2023-03-12T23:50:47.644+01:00,61
Y,2023-03-12T23:50:49.655+01:00,61
A,2023-03-12T23:50:41.785+01:00,62
C,2023-03-12T23:50:42.854+01:00,62
B,2023-03-12T23:50:42.955+01:00,62
X,2023-03-12T23:50:47.970+01:00,62
Y,2023-03-12T23:50:49.979+01:00,62
A,2023-03-12T23:50:42.790+01:00,63
D,2023-03-12T23:50:44.810+01:00,63
E,2023-03-12T23:50:48.831+01:00,63
A,2023-03-12T23:50:43.687+01:00,64
C,2023-03-12T23:50:44.749+01:00,64
B,2023-03-12T23:50:44.798+01:00,64
X,2023-03-12T23:50:49.828+01:00,64
Y,2023-03-12T23:50:50.884+01:00,64
A,2023-03-12T23:50:44.065+01:00,65
B,2023-03-12T23:50:45.099+01:00,65
C,2023-03-12T23:50:45.127+01:00,65
X,2023-03-12T23:50:50.145+01:00,65
Y,2023-03-12T23:50:54.169+01:00,65
A,2023-03-12T23:50:45.306+01:00,66
B,2023-03-12T23:50:46.349+01:00,66
C,2023-03-12T23:50:46.423+01:00,66
X,2023-03-12T23:50:51.449+01:00,66
Y,2023-03-12T23:50:55.454+01:00,66
A,2023-03-12T23:50:45.633+01:00,67
D,2023-03-12T23:50:47.644+01:00,67
E,2023-03-12T23:50:48.658+01:00,67
A,2023-03-12T23:50:45.829+01:00,68
D,2023-03-12T23:50:50.848+01:00,68
E,2023-03-12T23:50:55.887+01:00,68
A,2023-03-12T23:50:46.205+01:00,69
D,2023-03-12T23:50:49.242+01:00,69
E,2023-03-12T23:50:51.291+01:00,69
A,2023-03-12T23:50:46.964+01:00,70
B,2023-03-12T23:50:48.019+01:00,70
C,2023-03-12T23:50:48.058+01:00,70
X,2023-03-12T23:50:53.090+01:00,70
Y,2023-03-12T23:50:54.107+01:00,70
A,2023-03-12T23:50:47.181+01:00,71
D,2023-03-12T23:50:49.189+01:00,71
E,2023-03-12T23:50:54.237+01:00,71
A,2023-03-12T23:50:47.444+01:00,72
D,2023-03-12T23:50:49.454+01:00,72
E,2023-03-12T23:50:52.461+01:00,72
A,2023-03-12T23:50:47.478+01:00,73
D,2023-03-12T23:50:49.483+01:00,73
E,2023-03-12T23:50:54.493+01:00,73
A,2023-03-12T23:50:48.270+01:00,74
B,2023-03-12T23:50:49.309+01:00,74
C,2023-03-12T23:50:49.326+01:00,74
X,2023-03-12T23:50:54.360+01:00,74
Y,2023-03-12T23:50:57.368+01:00,74
A,2023-03-12T23:50:48.703+01:00,75
D,2023-03-12T23:50:50.708+01:00,75
E,2023-03-12T23:50:53.715+01:00,75
A,2023-03-12T23:50:49.224+01:00,76
B,2023-03-12T23:50:50.275+01:00,76
C,2023-03-12T23:50:50.326+01:00,76
X,2023-03-12T23:50:55.338+01:00,76
Y,2023-03-12T23:50:59.353+01:00,76
A,2023-03-12T23:50:50.661+01:00,77
D,2023-03-12T23:50:55.676+01:00,77
E,2023-03-12T23:50:56.682+01:00,77
A,2023-03-12T23:50:51.125+01:00,78
B,2023-03-12T23:50:52.196+01:00,78
C,2023-03-12T23:50:52.240+01:00,78
X,2023-03-12T23:50:57.246+01:00,78
Y,2023-03-12T23:51:00.251+01:00,78
A,2023-03-12T23:50:51.657+01:00,79
B,2023-03-12T23:50:52.710+01:00,79
C,2023-03-12T23:50:52.756+01:00,79
X,2023-03-12T23:50:57.810+01:00,79
Y,2023-03-12T23:51:02.815+01:00,79
A,2023-03-12T23:50:51.858+01:00,80
D,2023-03-12T23:50:53.894+01:00,80
E,2023-03-12T23:50:54.909+01:00,80
A,2023-03-12T23:50:52.046+01:00,81
D,2023-03-12T23:50:56.051+01:00,81
E,2023-03-12T23:50:59.077+01:00,81
A,2023-03-12T23:50:52.382+01:00,82
B,2023-03-12T23:50:53.430+01:00,82
C,2023-03-12T23:50:53.446+01:00,82
X,2023-03-12T23:50:58.468+01:00,82
Y,2023-03-12T23:50:59.477+01:00,82
A,2023-03-12T23:50:53.254+01:00,83
B,2023-03-12T23:50:54.321+01:00,83
C,2023-03-12T23:50:54.352+01:00,83
X,2023-03-12T23:50:59.361+01:00,83
Y,2023-03-12T23:51:00.373+01:00,83
A,2023-03-12T23:50:54.426+01:00,84
D,2023-03-12T23:50:55.435+01:00,84
E,2023-03-12T23:50:56.456+01:00,84
A,2023-03-12T23:50:54.726+01:00,85
D,2023-03-12T23:50:56.732+01:00,85
E,2023-03-12T23:50:58.738+01:00,85
A,2023-03-12T23:50:54.751+01:00,86
D,2023-03-12T23:50:57.766+01:00,86
E,2023-03-12T23:50:58.791+01:00,86
A,2023-03-12T23:50:56.458+01:00,87
B,2023-03-12T23:50:57.509+01:00,87
C,2023-03-12T23:50:57.535+01:00,87
X,2023-03-12T23:51:02.550+01:00,87
Y,2023-03-12T23:51:05.587+01:00,87
A,2023-03-12T23:50:56.645+01:00,88
B,2023-03-12T23:50:57.728+01:00,88
C,2023-03-12T23:50:57.800+01:00,88
X,2023-03-12T23:51:02.808+01:00,88
Y,2023-03-12T23:51:03.818+01:00,88
A,2023-03-12T23:50:56.993+01:00,89
B,2023-03-12T23:50:58.071+01:00,89
C,2023-03-12T23:50:58.115+01:00,89
X,2023-03-12T23:51:03.147+01:00,89
Y,2023-03-12T23:51:04.170+01:00,89
A,2023-03-12T23:50:57.213+01:00,90
B,2023-03-12T23:50:58.240+01:00,90
C,2023-03-12T23:50:58.278+01:00,90
X,2023-03-12T23:51:03.284+01:00,90
Y,2023-03-12T23:51:05.293+01:00,90
A,2023-03-12T23:50:57.774+01:00,91
C,2023-03-12T23:50:58.820+01:00,91
B,2023-03-12T23:50:58.843+01:00,91
X,2023-03-12T23:51:03.856+01:00,91
Y,2023-03-12T23:51:05.861+01:00,91
A,2023-03-12T23:51:00.098+01:00,92
C,2023-03-12T23:51:01.157+01:00,92
B,2023-03-12T23:51:01.182+01:00,92
X,2023-03-12T23:51:06.195+01:00,92
Y,2023-03-12T23:51:09.208+01:00,92
A,2023-03-12T23:51:00.756+01:00,93
C,2023-03-12T23:51:01.835+01:00,93
B,2023-03-12T23:51:01.875+01:00,93
X,2023-03-12T23:51:06.881+01:00,93
Y,2023-03-12T23:51:07.887+01:00,93
A,2023-03-12T23:51:00.775+01:00,94
D,2023-03-12T23:51:01.798+01:00,94
E,2023-03-12T23:51:02.813+01:00,94
A,2023-03-12T23:51:00.956+01:00,95
D,2023-03-12T23:51:04.961+01:00,95
E,2023-03-12T23:51:09.972+01:00,95
A,2023-03-12T23:51:00.971+01:00,96
B,2023-03-12T23:51:02.014+01:00,96
C,2023-03-12T23:51:02.061+01:00,96
X,2023-03-12T23:51:07.081+01:00,96
Y,2023-03-12T23:51:08.086+01:00,96
A,2023-03-12T23:51:01.049+01:00,97
D,2023-03-12T23:51:04.071+01:00,97
E,2023-03-12T23:51:05.114+01:00,97
A,2023-03-12T23:51:01.756+01:00,98
C,2023-03-12T23:51:02.837+01:00,98
B,2023-03-12T23:51:02.881+01:00,98
X,2023-03-12T23:51:07.889+01:00,98
Y,2023-03-12T23:51:09.905+01:00,98
A,2023-03-12T23:51:02.590+01:00,99
C,2023-03-12T23:51:03.660+01:00,99
B,2023-03-12T23:51:03.707+01:00,99
X,2023-03-12T23:51:08.726+01:00,99
Y,2023-03-12T23:51:10.752+01:00,99
A,2023-03-12T23:51:03.051+01:00,100
D,2023-03-12T23:51:08.064+01:00,100
E,2023-03-12T23:51:10.072+01:00,100
A,2023-03-12T23:51:03.520+01:00,101
C,2023-03-12T23:51:04.575+01:00,101
B,2023-03-12T23:51:04.617+01:00,101
X,2023-03-12T23:51:09.636+01:00,101
Y,2023-03-12T23:51:13.645+01:00,101
A,2023-03-12T23:51:03.984+01:00,102
B,2023-03-12T23:51:05.026+01:00,102
C,2023-03-12T23:51:05.065+01:00,102
X,2023-03-12T23:51:10.079+01:00,102
Y,2023-03-12T23:51:15.091+01:00,102
A,2023-03-12T23:51:05.091+01:00,103
D,2023-03-12T23:51:06.096+01:00,103
E,2023-03-12T23:51:11.102+01:00,103
A,2023-03-12T23:51:05.558+01:00,104
B,2023-03-12T23:51:06.639+01:00,104
C,2023-03-12T23:51:06.693+01:00,104
X,2023-03-12T23:51:11.713+01:00,104
Y,2023-03-12T23:51:12.724+01:00,104
A,2023-03-12T23:51:05.572+01:00,105
D,2023-03-12T23:51:08.582+01:00,105
E,2023-03-12T23:51:09.608+01:00,105
A,2023-03-12T23:51:06.426+01:00,106
D,2023-03-12T23:51:09.431+01:00,106
E,2023-03-12T23:51:12.443+01:00,106
A,2023-03-12T23:51:06.526+01:00,107
B,2023-03-12T23:51:07.605+01:00,107
C,2023-03-12T23:51:07.680+01:00,107
X,2023-03-12T23:51:12.715+01:00,107
Y,2023-03-12T23:51:16.722+01:00,107
A,2023-03-12T23:51:07.620+01:00,108
D,2023-03-12T23:51:09.632+01:00,108
E,2023-03-12T23:51:10.644+01:00,108
A,2023-03-12T23:51:08.406+01:00,109
D,2023-03-12T23:51:10.422+01:00,109
E,2023-03-12T23:51:13.432+01:00,109
A,2023-03-12T23:51:08.770+01:00,110
B,2023-03-12T23:51:09.815+01:00,110
C,2023-03-12T23:51:09.860+01:00,110
X,2023-03-12T23:51:14.889+01:00,110
Y,2023-03-12T23:51:18.913+01:00,110
A,2023-03-12T23:51:09.379+01:00,111
B,2023-03-12T23:51:10.419+01:00,111
C,2023-03-12T23:51:10.477+01:00,111
X,2023-03-12T23:51:15.486+01:00,111
Y,2023-03-12T23:51:17.507+01:00,111
A,2023-03-12T23:51:09.646+01:00,112
D,2023-03-12T23:51:14.660+01:00,112
E,2023-03-12T23:51:15.679+01:00,112
A,2023-03-12T23:51:09.979+01:00,113
D,2023-03-12T23:51:14.002+01:00,113
E,2023-03-12T23:51:15.016+01:00,113
A,2023-03-12T23:51:10.891+01:00,114
C,2023-03-12T23:51:11.921+01:00,114
B,2023-03-12T23:51:11.959+01:00,114
X,2023-03-12T23:51:16.976+01:00,114
Y,2023-03-12T23:51:17.990+01:00,114
A,2023-03-12T23:51:11.620+01:00,115
D,2023-03-12T23:51:14.635+01:00,115
E,2023-03-12T23:51:18.659+01:00,115
A,2023-03-12T23:51:11.628+01:00,116
C,2023-03-12T23:51:12.691+01:00,116
B,2023-03-12T23:51:12.835+01:00,116
X,2023-03-12T23:51:17.864+01:00,116
Y,2023-03-12T23:51:20.888+01:00,116
A,2023-03-12T23:51:11.963+01:00,117
B,2023-03-12T23:51:13.031+01:00,117
C,2023-03-12T23:51:13.058+01:00,117
X,2023-03-12T23:51:18.072+01:00,117
Y,2023-03-12T23:51:23.081+01:00,117
A,2023-03-12T23:51:12.973+01:00,118
D,2023-03-12T23:51:14.987+01:00,118
E,2023-03-12T23:51:17.999+01:00,118
A,2023-03-12T23:51:13.406+01:00,119
B,2023-03-12T23:51:14.464+01:00,119
C,2023-03-12T23:51:14.501+01:00,119
X,2023-03-12T23:51:19.515+01:00,119
Y,2023-03-12T23:51:22.529+01:00,119
A,2023-03-12T23:51:14.187+01:00,120
D,2023-03-12T23:51:17.203+01:00,120
E,2023-03-12T23:51:18.212+01:00,120
A,2023-03-12T23:51:14.317+01:00,121
D,2023-03-12T23:51:17.344+01:00,121
E,2023-03-12T23:51:18.354+01:00,121
A,2023-03-12T23:51:14.738+01:00,122
D,2023-03-12T23:51:18.756+01:00,122
E,2023-03-12T23:51:23.770+01:00,122
A,2023-03-12T23:51:15.334+01:00,123
C,2023-03-12T23:51:16.405+01:00,123
B,2023-03-12T23:51:16.437+01:00,123
X,2023-03-12T23:51:21.469+01:00,123
Y,2023-03-12T23:51:22.484+01:00,123
A,2023-03-12T23:51:16.112+01:00,124
B,2023-03-12T23:51:17.169+01:00,124
C,2023-03-12T23:51:17.215+01:00,124
X,2023-03-12T23:51:22.252+01:00,124
Y,2023-03-12T23:51:27.302+01:00,124
A,2023-03-12T23:51:16.284+01:00,125
D,2023-03-12T23:51:20.296+01:00,125
E,2023-03-12T23:51:25.309+01:00,125
A,2023-03-12T23:51:17.230+01:00,126
C,2023-03-12T23:51:18.287+01:00,126
B,2023-03-12T23:51:18.317+01:00,126
X,2023-03-12T23:51:23.367+01:00,126
Y,2023-03-12T23:51:27.385+01:00,126
A,2023-03-12T23:51:17.303+01:00,127
B,2023-03-12T23:51:18.345+01:00,127
C,2023-03-12T23:51:18.386+01:00,127
X,2023-03-12T23:51:23.409+01:00,127
Y,2023-03-12T23:51:28.422+01:00,127
A,2023-03-12T23:51:18.314+01:00,128
C,2023-03-12T23:51:19.343+01:00,128
B,2023-03-12T23:51:19.432+01:00,128
X,2023-03-12T23:51:24.448+01:00,128
Y,2023-03-12T23:51:25.470+01:00,128
A,2023-03-12T23:51:18.353+01:00,129
D,2023-03-12T23:51:23.366+01:00,129
E,2023-03-12T23:51:24.380+01:00,129
A,2023-03-12T23:51:19.042+01:00,130
B,2023-03-12T23:51:20.102+01:00,130
C,2023-03-12T23:51:20.162+01:00,130
X,2023-03-12T23:51:25.174+01:00,130
Y,2023-03-12T23:51:27.192+01:00,130
A,2023-03-12T23:51:20.355+01:00,131
C,2023-03-12T23:51:21.428+01:00,131
B,2023-03-12T23:51:21.464+01:00,131
X,2023-03-12T23:51:26.476+01:00,131
Y,2023-03-12T23:51:27.500+01:00,131
A,2023-03-12T23:51:20.583+01:00,132
D,2023-03-12T23:51:24.614+01:00,132
E,2023-03-12T23:51:25.625+01:00,132
A,2023-03-12T23:51:20.611+01:00,133
C,2023-03-12T23:51:21.698+01:00,133
B,2023-03-12T23:51:21.667+01:00,133
X,2023-03-12T23:51:26.712+01:00,133
Y,2023-03-12T23:51:31.720+01:00,133
A,2023-03-12T23:51:21.322+01:00,134
B,2023-03-12T23:51:22.361+01:00,134
C,2023-03-12T23:51:22.418+01:00,134
X,2023-03-12T23:51:27.429+01:00,134
Y,2023-03-12T23:51:30.435+01:00,134
A,2023-03-12T23:51:21.492+01:00,135
D,2023-03-12T23:51:25.500+01:00,135
E,2023-03-12T23:51:26.512+01:00,135
A,2023-03-12T23:51:21.891+01:00,136
B,2023-03-12T23:51:22.945+01:00,136
C,2023-03-12T23:51:22.995+01:00,136
X,2023-03-12T23:51:28.004+01:00,136
Y,2023-03-12T23:51:32.010+01:00,136
A,2023-03-12T23:51:22.853+01:00,137
B,2023-03-12T23:51:23.909+01:00,137
C,2023-03-12T23:51:23.919+01:00,137
X,2023-03-12T23:51:28.927+01:00,137
Y,2023-03-12T23:51:32.938+01:00,137
A,2023-03-12T23:51:23.333+01:00,138
C,2023-03-12T23:51:24.392+01:00,138
B,2023-03-12T23:51:24.427+01:00,138
X,2023-03-12T23:51:29.439+01:00,138
Y,2023-03-12T23:51:32.455+01:00,138
A,2023-03-12T23:51:23.593+01:00,139
B,2023-03-12T23:51:24.649+01:00,139
C,2023-03-12T23:51:24.682+01:00,139
X,2023-03-12T23:51:29.697+01:00,139
Y,2023-03-12T23:51:34.709+01:00,139
A,2023-03-12T23:51:24.961+01:00,140
D,2023-03-12T23:51:28.972+01:00,140
E,2023-03-12T23:51:30.981+01:00,140
A,2023-03-12T23:51:25.281+01:00,141
C,2023-03-12T23:51:26.360+01:00,141
B,2023-03-12T23:51:26.414+01:00,141
X,2023-03-12T23:51:31.433+01:00,141
Y,2023-03-12T23:51:36.443+01:00,141
A,2023-03-12T23:51:25.338+01:00,142
D,2023-03-12T23:51:28.344+01:00,142
E,2023-03-12T23:51:29.351+01:00,142
A,2023-03-12T23:51:25.920+01:00,143
D,2023-03-12T23:51:27.934+01:00,143
E,2023-03-12T23:51:32.958+01:00,143
A,2023-03-12T23:51:26.496+01:00,144
D,2023-03-12T23:51:30.505+01:00,144
E,2023-03-12T23:51:35.511+01:00,144
A,2023-03-12T23:51:26.636+01:00,145
B,2023-03-12T23:51:27.698+01:00,145
C,2023-03-12T23:51:27.755+01:00,145
X,2023-03-12T23:51:32.805+01:00,145
Y,2023-03-12T23:51:37.823+01:00,145
A,2023-03-12T23:51:27.002+01:00,146
C,2023-03-12T23:51:28.045+01:00,146
B,2023-03-12T23:51:28.096+01:00,146
X,2023-03-12T23:51:33.103+01:00,146
Y,2023-03-12T23:51:35.111+01:00,146
A,2023-03-12T23:51:27.193+01:00,147
C,2023-03-12T23:51:28.265+01:00,147
B,2023-03-12T23:51:28.367+01:00,147
X,2023-03-12T23:51:33.386+01:00,147
Y,2023-03-12T23:51:36.399+01:00,147
